Artists,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
YoungBoy Never Broke Again ,Ten Talk,1IeXZVBNGJJExnzNmXcLRX,0.823,0.381,5,-12.361,0,0.307,0.288,0.0,0.0718,0.794,83.497
Young Thug ,Faces,29GvhwlStyNr9BQTX4M9qx,0.557,0.488,0,-9.698,1,0.382,0.0511,0.0,0.158,0.35,84.129
Camila Cabello ,Havana,1rfofaqEpACxVEHIZBJe6W,0.765,0.523,2,-4.333,1,0.03,0.184,3.56e-05,0.132,0.394,104.988
Drake ,Intro,1kNdtonJXHorsVpWerK8C2,0.193,0.0218,0,-31.16,0,0.0389,0.955,0.88,0.117,0.213,125.501
Bad Bunny ,Una Vez,5J7teKIJGtqVypgYI6sqXj,0.55,0.598,11,-5.402,0,0.0831,0.132,2.58e-06,0.0955,0.543,83.836
The 1975 ,I'm In Love With You,12g9IeQzX7xECLNxz8dpb5,0.668,0.902,2,-3.924,1,0.0386,0.169,8.74e-05,0.198,0.913,119.008
Daft Punk ,Around the World,1pKYYY0dkg23sQQXi0Q5zN,0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294
Blueface ,Outside (Better Days),26BMsCXJpD7eYtP7ufhApC,0.67,0.424,9,-14.297,0,0.292,0.333,0.0,0.112,0.743,77.685
Central Cee ,LET GO,3zkyus0njMCL6phZmNNEeN,0.735,0.449,2,-9.933,0,0.383,0.859,0.0,0.213,0.514,146.016
Trippie Redd ,Good Morning,3jKL28PBT47f9FTn9KvfwR,0.768,0.646,0,-7.436,0,0.102,0.553,7.82e-06,0.218,0.598,143.046
Camila Cabello ,Don't Go Yet,1058fW9H3fZA6QjYCdOBad,0.666,0.796,10,-6.967,0,0.103,0.0492,0.0,0.0442,0.61,110.108
Joey Bada$$ ,RING THE ALARM,1vpQmfAJWRAFsvBHtAy0d9,0.51,0.907,2,-4.239,1,0.441,0.244,0.0,0.133,0.521,93.442
Rick Ross ,I Think She Like Me,5V1QsNSEDF7YmNBhSKhE75,0.629,0.7,2,-6.212,1,0.264,0.0084,0.0,0.118,0.153,85.814
PnB Rock ,Issues,1ysDVWxBj5Set0fA05TcyP,0.655,0.642,9,-6.758,1,0.0729,0.203,2.3e-05,0.11,0.208,83.974
Jordan Davis ,What My World Spins Around,6vjZxvzdAeHp7jv3R398Xm,0.686,0.733,2,-6.483,1,0.0401,0.111,0.0,0.153,0.7,124.882
Lil Durk ,Finesse Out The Gang Way,61FfbHfk4qT8ZzNA5dqN9j,0.736,0.887,1,-4.159,0,0.124,0.218,0.0,0.101,0.495,100.501
Ryn Weaver ,The Fool,5VF6OStYFWd5QTpxTvDXCU,0.599,0.67,5,-5.64,1,0.059,0.169,0.0,0.633,0.394,105.065
Kanye West ,Only One,0j35X8cTq543QDYLOyqB8W,0.732,0.243,0,-6.023,1,0.0435,0.939,0.0,0.111,0.106,102.087
JID ,Crack Sandwich,65dO13qYabE4LDdQmjU4p6,0.604,0.666,4,-6.505,1,0.372,0.544,0.0,0.128,0.683,93.542
Kelsea Ballerini ,End of the World,0jYywBNudHir22epdzJYhb,0.597,0.708,4,-6.32,1,0.0357,0.187,3.94e-06,0.108,0.401,107.036
PnB Rock ,Selfish,2xbI8Vmyv3TkpTdywpPyNw,0.638,0.6,1,-5.84,0,0.0438,0.114,0.0,0.187,0.0399,101.981
Rihanna ,James Joint,6K4Co1NQyOnoFEJMkZHkln,0.399,0.203,4,-11.649,1,0.0298,0.66,0.000163,0.27,0.405,134.202
James Bay ,Let It Go,13HVjjWUZFaWilh2QUJKsP,0.546,0.311,1,-10.396,1,0.0288,0.818,1.65e-05,0.107,0.246,147.464
Linkin Park ,A Place For My Head,5rAxhWcgFng3s570sGO2F8,0.603,0.908,11,-5.254,1,0.184,0.0144,0.0,0.671,0.457,133.063
"Bobby ""Boris"" Pickett & The Crypt",Kickers  Monster Mash,0xxZY5C9xxij3D1HkzbnfC,0.541,0.504,11,-14.191,0,0.457,0.375,0.0,0.421,0.707,68.482
BTS ,Louder than bombs,4Aw8n6r2vuU0KUo1a2nftp,0.643,0.667,0,-6.947,0,0.151,0.0432,0.0,0.0904,0.478,145.999
BANKS ,Beggin For Thread,4PvD06Pmbm2rHG2JjSlElF,0.597,0.696,5,-6.196,0,0.0278,0.00101,0.0735,0.255,0.397,107.96
Kanye West ,Moon,7CC6UbCs4iGsePSzFxYxNn,0.319,0.236,5,-9.644,1,0.0318,0.898,1.62e-05,0.272,0.254,162.351
Frank Sinatra ,The First Noel  Remastered 1999,6keKIzkXWdbwJWMBJQUwYl,0.176,0.153,0,-15.969,1,0.0365,0.956,0.00012,0.158,0.157,84.741
The J. Geils Band ,Centerfold,1ynmMEK1fkyiZ6Z6F3ThEt,0.653,0.677,0,-12.244,1,0.0396,0.249,0.0,0.403,0.888,114.37
YoungBoy Never Broke Again ,Knocked Off,7MYFKS7XpVz1JQDK38pr8N,0.752,0.653,6,-4.607,0,0.293,0.0647,0.0,0.125,0.569,165.046
Taylor Swift ,marjorie,12ntTeqEeTg7GAVpe8Mhpl,0.535,0.561,5,-11.609,1,0.0484,0.876,0.000136,0.115,0.287,96.103
Jaden ,Chateau,2mbAFKj9gePjW91G1WH3sp,0.759,0.812,8,-4.257,1,0.251,0.251,0.0,0.348,0.229,139.911
Bad Bunny ,TRELLAS,09WAnxdBuebQopKhJT3oZS,0.43,0.412,2,-5.372,1,0.0281,0.2,0.0,0.324,0.0508,90.872
Pharrell Williams ,Just A Cloud Away,0DGTcMqvVR7fmBXgiG6jz4,0.89,0.46,2,-8.155,1,0.0359,0.432,0.0,0.11,0.677,112.555
Young Thug ,Pussy,5ZzQZcpwW7IyhKopLuoiwn,0.808,0.756,5,-7.429,0,0.214,0.00161,9.26e-05,0.226,0.631,74.999
P!nk ,A Million Dreams,0oagwWkGlBoACUuKvTmqZV,0.312,0.499,7,-6.282,1,0.0397,0.272,0.0,0.0901,0.191,148.173
Mac Miller ,Perfecto,0Xcy81PsJCOO6mhLZaQyQ4,0.599,0.317,1,-11.212,1,0.174,0.748,0.0,0.111,0.203,148.09
Louis The Child ,Little Things,52681Ivj8kgCi90Lu8B9fl,0.553,0.636,6,-4.38,1,0.152,0.189,0.0,0.0779,0.53,81.969
Bad Bunny ,Yonaguni,2JPLbjOn0wPCngEot2STUS,0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,179.951
Isaiah Rashad ,From The Garden,3Dah4SWoWwekrG4GShaHVP,0.866,0.64,6,-6.195,0,0.413,0.000697,0.000114,0.702,0.636,142.04
Lil Skies ,Through The Motions,3XVT8VNy0vpvTbFPQaBSZN,0.697,0.618,6,-8.468,0,0.102,0.0368,0.0,0.085,0.247,161.964
Kid Cudi ,Swim In The Light,5cjsgbZ8tZYD4f0LNpApnf,0.357,0.377,2,-10.723,1,0.0428,0.61,0.371,0.11,0.116,165.208
BLACKPINK ,Typa Girl,0L8LOav65XwLjCLS11gNPD,0.915,0.621,7,-6.519,1,0.1,0.0745,0.0,0.628,0.527,131.984
RL Grime ,Light Me Up,7srG69mgXalKVwk9DxRTHp,0.399,0.627,2,-4.074,0,0.0471,0.0732,0.0,0.0957,0.293,75.263
MAGIC! ,Rude,6RtPijgfPKROxEzTHNRiDp,0.773,0.758,1,-4.993,1,0.0381,0.0422,0.0,0.305,0.925,144.033
Eslabon Armado ,Tal Vez,7Aiq4g8tSExAM2qUNkiHbZ,0.373,0.645,8,-8.031,1,0.0342,0.414,0.0,0.09,0.554,182.956
Juice WRLD ,HeMotions,39HsFsNfFYZdpnQfq8lbS3,0.562,0.755,2,-7.201,1,0.26,0.672,0.0,0.106,0.333,163.936
Kodak Black ,Testimony,6Gg25EZRbQd4IHiJz2KSY0,0.814,0.667,6,-4.785,0,0.36,0.0369,0.0,0.11,0.376,80.031
Young Thug ,Mannequin Challenge,5TnLXSd4h6G06Fbt2ApOpa,0.857,0.583,1,-7.466,0,0.086,0.0899,0.0,0.204,0.443,132.01
Kevin Gates ,Know Better,50prNXlssUmo8p5Agh0gHJ,0.644,0.641,7,-7.501,0,0.305,0.403,0.0,0.5,0.56,127.824
Bebe Rexha ,That's It,3w9mof4ZxG3z9huYwHFZ1i,0.783,0.361,0,-7.949,0,0.1,0.0474,0.00762,0.0861,0.413,75.0
Joji ,XNXX,0qpSvzE0Rws3gVZNZCf04v,0.388,0.52,2,-8.354,1,0.0593,0.257,0.185,0.113,0.196,84.851
Drake ,Scholarships,0B5OTb36fzLayn6XQHg5A1,0.739,0.416,0,-9.319,0,0.285,0.0966,1.27e-05,0.1,0.259,109.168
DJ Scheme ,Buck 50,7nD5MiXspW533xaREDma2N,0.656,0.537,1,-6.687,1,0.0706,0.0309,0.0,0.104,0.15,144.04
Playboi Carti ,Die4Guy,7rbalRuIx7sIXFHYTphE0n,0.759,0.67,1,-5.188,0,0.0589,0.00471,0.0,0.0889,0.418,148.938
Lil Yachty ,Yacht Club,5R2rsbwCDXORX2tLfprRmM,0.721,0.508,7,-7.496,1,0.394,0.317,0.0,0.153,0.457,159.911
A$AP Ferg ,Jet Lag,2hyF1YWdX8yxExvRelT9nB,0.853,0.803,11,-3.297,1,0.292,0.0085,2.41e-05,0.104,0.433,169.957
Rick Ross ,Turnpike Ike,12NFbnTFq0EvxPsstNBSrE,0.44,0.764,0,-4.426,0,0.374,0.0193,0.0,0.204,0.127,80.049
Mumford & Sons ,Believe,4xmv6NGg9arNPmANOa4cjq,0.359,0.622,11,-7.476,0,0.0444,0.0242,0.0654,0.223,0.398,113.852
Lil Yachty ,love me forever,2WX8QMtZVO20ywltD9BoeM,0.779,0.473,5,-8.454,0,0.283,0.0924,0.0,0.104,0.273,73.918
Ed Sheeran ,Best Part of Me,0VsGaRXR5WAzpu51unJTis,0.565,0.243,2,-8.367,1,0.0317,0.758,8.82e-06,0.285,0.239,81.655
Green Day ,Bang Bang,278Ao6KQDxWGGszv24uvhI,0.499,0.958,9,-5.417,1,0.0898,0.000326,2.19e-06,0.432,0.359,127.491
YG ,Why You Always Hatin?,4ezAjoV01phDz1SqO6SzEU,0.925,0.355,0,-9.309,0,0.55,0.0413,0.0,0.141,0.383,92.988
Lil Peep ,Life is Beautiful,5rYpwP1dHWGVMrSZbTmt3e,0.533,0.638,10,-9.411,1,0.0636,0.0385,0.000932,0.0758,0.324,135.056
Future ,Three,1GkZhF14XvGoJXKW0gwVKI,0.535,0.287,7,-11.5,1,0.0368,0.237,0.205,0.0893,0.206,121.148
YFN Lucci ,Key to the Streets,0bHDsbWkPSJ01adXfObBzJ,0.77,0.691,6,-5.448,0,0.111,0.122,0.0,0.113,0.292,140.059
The Beatles ,Here Comes The Sun  Remastered,6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
Aaliyah ,Poison,7M4fSXTAUQih72cf0FbMgA,0.599,0.547,1,-7.498,1,0.113,0.573,3e-06,0.155,0.425,90.271
Ryan Adams ,All You Had to Do Was Stay,7Jw1V7CzU9xvVSEONbHOD3,0.612,0.654,8,-5.882,1,0.0359,9.51e-05,1.99e-05,0.0728,0.399,130.099
DJ Khaled ,THANKFUL,5suOUHDyRxvWDYF5GA6dly,0.352,0.758,9,-2.491,0,0.0434,0.536,0.0,0.161,0.653,84.281
Joji ,Gimme Love,0HItcI6qN6Dr4MC3CZryQh,0.484,0.632,5,-6.917,1,0.0976,0.695,0.0243,0.209,0.0736,126.384
DJ Suede The Remix God ,You Name It! (#UNameItChallenge),0oBjrHHxFOf5ShTtuxKIQQ,0.677,0.746,10,-4.766,0,0.184,0.0128,0.0,0.142,0.453,121.011
BlocBoy JB ,Look Alive,6HJ34Zyw6bg8yGm28AxLXf,0.918,0.58,10,-7.501,1,0.322,0.00108,6.12e-05,0.106,0.611,139.977
Kanye West ,Champions,2nBI3iWLhupR7LyAJ5GGkE,0.692,0.774,6,-2.48,0,0.0876,0.0623,0.0,0.873,0.349,134.952
BTS ,All Night (BTS World Original Soundtrack) [Pt. 3],4sfXQzbYjROMuEgDfJisj3,0.726,0.705,5,-4.765,1,0.121,0.194,0.0,0.109,0.634,120.042
24kGoldn ,VALENTINO,6piAUJJQFD8oHDUr0b7l7q,0.746,0.717,9,-4.841,0,0.179,0.199,0.0,0.132,0.523,150.964
Green Day ,Still Breathing,19YmvsVCetCBeVj6O2mljR,0.54,0.902,1,-3.577,1,0.0442,0.0142,0.0,0.0756,0.692,75.033
Bing Crosby ,It's Beginning To Look Like Christmas,1uh1iaMqBdx4XyrXhssKGD,0.464,0.259,3,-9.194,1,0.0379,0.869,0.000326,0.116,0.531,97.586
Yo Gotti ,They Like,5ZWwLNhwmJXM7yKZJ5sxN1,0.748,0.654,7,-6.053,0,0.0651,0.187,0.0,0.265,0.675,140.039
BROCKHAMPTON ,BOOGIE,3NuN59jpH3B5cNa2M4r7XG,0.604,0.933,1,-3.034,1,0.214,0.0137,0.0,0.37,0.28,110.029
Juice WRLD ,Out My Way,2wkej79m7pKn0iTljW929c,0.665,0.832,10,-3.166,0,0.34,0.107,0.0,0.776,0.498,164.147
Avicii ,Hey Brother,4lhqb6JvbHId48OUJGwymk,0.545,0.78,7,-4.867,0,0.0436,0.0309,4.64e-05,0.0828,0.458,125.014
Summer Walker ,Deeper,7uwpgQQufpSsFIhhGJDHQF,0.667,0.448,1,-8.96,1,0.0365,0.0241,0.0,0.125,0.166,108.023
YG ,Out On Bail,1ylymaTbSjggG7TaItdRkI,0.734,0.563,0,-6.464,1,0.314,0.0182,0.0,0.0981,0.371,203.905
Sublime ,Santeria,2hnMS47jN0etwvFPzYk11f,0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807
JID ,Westbrook,0GTzZhS8P50p922OEuoNLF,0.621,0.779,1,-4.354,1,0.406,0.0454,0.0,0.0479,0.432,90.722
Migos ,Call Casting,4BqE5Rg3r4Rtizvm3IicrN,0.852,0.727,1,-4.851,1,0.267,0.0962,0.0,0.154,0.496,130.015
Drake ,Overdrive,7hRlTK3mgFTBEjX7DjqBsI,0.502,0.645,2,-10.611,0,0.122,0.444,0.00964,0.107,0.518,109.739
Logic ,man i is,0ERnYArznxdTBEIj1VSta8,0.754,0.778,10,-2.745,0,0.134,0.365,6.96e-05,0.152,0.95,74.999
Tony Bennett ,Silver Bells,3IFdgovo2BeNChD2DWBh7H,0.711,0.302,0,-12.886,1,0.0344,0.837,0.00013,0.122,0.515,131.431
Lil Skies ,Name in the Sand,11p2ty4w5GpoFL4vcK0Cru,0.646,0.656,11,-6.798,0,0.0743,0.0949,0.0,0.103,0.501,160.065
Young Thug ,Hot (Remix),4ea9w8c4ROqiZpJVhfBA3m,0.845,0.631,7,-8.206,0,0.216,0.188,0.0,0.0806,0.545,111.983
TOMORROW X TOGETHER ,0X1=LOVESONG (I Know I Love you),1Z8TPHiKeCUyClxV6WTTIf,0.584,0.836,0,-4.925,1,0.079,0.0558,0.0,0.0663,0.484,104.973
Fall Out Boy ,Fourth Of July,1vrjcPplEuenckUzGGp2UR,0.481,0.974,4,-3.388,0,0.136,0.139,0.00998,0.406,0.516,79.964
Taylor Swift ,ME!,2Rk4JlNc2TPmZe2af99d45,0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162
Drake ,Peak,11L064movtyopGdLiX4sVg,0.687,0.218,9,-13.539,0,0.0388,0.85,0.000125,0.106,0.269,91.991
NOTD ,So Close,7FjZU7XFs7P9jHI9Z0yRhK,0.7,0.872,10,-5.896,1,0.0666,0.121,7.08e-06,0.103,0.761,125.03
Lil Uzi Vert ,For Real,3tcoEYOZUHKB3RKNByIN13,0.902,0.673,4,-7.481,1,0.458,0.159,0.0,0.289,0.615,132.066
XXXTENTACION ,changes,7AFASza1mXqntmGtbxXprO,0.669,0.308,11,-10.068,1,0.029,0.883,0.0,0.0984,0.52,64.934
Shawn Mendes ,Señorita,6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9,-6.049,0,0.029,0.0392,0.0,0.0828,0.749,116.967
John Legend ,What Christmas Means to Me,4hnzXzE7JiU5QAZFF9OUsI,0.567,0.828,10,-4.513,1,0.0819,0.21,0.0,0.0928,0.845,170.055
Run The Jewels ,a few words for the firing squad (radiation),0gDRZBhdSLqWhfTaWsOdcd,0.571,0.605,7,-7.336,1,0.041,0.0591,0.000121,0.115,0.0859,98.562
Kent Jones ,Don't Mind,27PmvZoffODNFW2p7ehZTQ,0.464,0.771,8,-4.503,1,0.336,0.0235,0.0,0.063,0.69,158.777
Disclosure ,Latch,1DunhgeZSEgWiIYbHqXl0c,0.729,0.735,1,-5.455,1,0.0919,0.0178,0.000193,0.089,0.544,121.986
Future ,My Collection,0526DaOuV7mRlPKxhMSJKw,0.697,0.459,8,-8.498,0,0.448,0.729,8.35e-06,0.0971,0.409,80.085
Blvckengineer ,In Tune,5XYAiJQLMcFcZplOhP1li0,0.602,0.955,1,-3.494,1,0.147,0.0306,0.00137,0.0733,0.341,145.126
Bon Iver ,iMi,56A3kiXcOAmz6LxxUNfIYf,0.477,0.399,8,-11.544,1,0.0544,0.891,0.0058,0.203,0.52,133.975
NF ,Leave Me Alone,3EtyEzMpfKSaoVhPunvbRV,0.722,0.741,1,-3.72,1,0.19,0.249,0.0,0.151,0.46,162.11
Lady Gaga ,Telephone,7rl7ao5pb9BhvAzPdWStxi,0.825,0.832,5,-5.853,0,0.0403,0.00587,0.000789,0.114,0.713,122.021
Chris Brown ,Loyal,5BrTUo0xP1wKXLJWUaGFtk,0.841,0.522,10,-5.963,0,0.049,0.0168,1.37e-06,0.188,0.616,99.059
Logic ,Can I Kick It,5JDwLHI2YUkFSFSn4g5pGd,0.789,0.774,2,-4.415,1,0.0614,0.609,0.00122,0.298,0.488,100.077
Warren Zevon ,Werewolves of London  2007 Remaster,4VcaFr7uq8P8kxusc4VLc6,0.548,0.779,7,-9.29,1,0.033,0.0634,0.00168,0.915,0.76,97.583
Kane Brown ,Worship You,4RN6OApAESI3Sh0gf5iuAM,0.63,0.496,8,-7.011,1,0.0329,0.388,0.0,0.088,0.387,78.024
J Balvin ,MOJAITA,71pEiUWwfDFiRO6RmFpnBf,0.45,0.842,0,-3.602,1,0.102,0.0171,0.0,0.377,0.885,172.069
Lil Baby ,Gang Signs,1nX1wW2WuCEnc2eDOBOaFd,0.82,0.793,0,-5.77,1,0.0975,0.0145,0.0,0.362,0.531,85.009
One Direction ,Hey Angel,4fLTtg48X0QtKrj0Jv8I3v,0.523,0.883,8,-2.956,1,0.0365,0.0202,0.0,0.116,0.35,92.215
The Chainsmokers ,Kills You Slowly,2PgMUAn2bBpm8gz6yAXvVL,0.696,0.439,1,-8.77,0,0.055,0.0636,0.0,0.127,0.229,149.923
Kodak Black ,MoshPit,4KX8vXbouybtUptEyYxtIk,0.769,0.627,7,-4.064,1,0.262,0.394,0.0,0.106,0.49,157.938
BTS ,Dynamite  Instrumental,0V2wvC5MkDjMZyFttv8sZF,0.861,0.658,11,-6.966,1,0.05,0.00903,0.803,0.0443,0.625,114.0
ScHoolboy Q ,Black Folk,1iWAx1WGCY6j2zAMdACQ6E,0.734,0.902,2,-6.076,0,0.396,0.831,0.00106,0.226,0.4,155.097
Ivan Cornejo ,Está Dañado,0ciLo7Ntd7Gfc0rQRTgkSG,0.578,0.459,8,-11.938,1,0.041,0.501,1.86e-05,0.143,0.164,160.065
Ellie Goulding ,Codes,5DiRcqIW1nLBzcDYKkFKId,0.511,0.701,5,-7.317,1,0.126,0.0238,2.41e-05,0.105,0.32,184.023
Camila Cabello ,Bam Bam,0QBzMgT7NIeoCYy3sJCof1,0.756,0.697,8,-6.377,1,0.0401,0.182,0.0,0.333,0.956,94.996
Jessie J ,Burnin' Up,2f8FHYOkBjxnNxBWXWBpsG,0.757,0.814,1,-2.969,0,0.0459,0.0442,3.54e-06,0.687,0.414,124.023
DJ Khaled ,Celebrate,0b6UoVjUzFyZNpHI0aAhKt,0.362,0.714,9,-3.07,0,0.0835,0.269,0.0,0.21,0.309,67.4
Luke Bryan ,Home Alone Tonight,0RE8WWlaCQM6M4XHUK3u7b,0.501,0.966,8,-1.177,1,0.112,0.0796,0.0,0.0903,0.497,161.881
George Michael ,Freedom! '90,1wZ7o1mZysv1l26ZWawVfW,0.673,0.863,5,-10.352,1,0.0451,0.243,3.23e-05,0.0601,0.938,91.703
Don Toliver ,Can't Feel My Legs,47IXLhp3c6mu7NqvpuhuLi,0.703,0.653,11,-6.226,0,0.079,0.237,0.0,0.199,0.414,140.044
The Lumineers ,A.M. RADIO,0Hu1ylV8WuaLcLclixNgTV,0.469,0.562,1,-6.402,1,0.0343,0.568,0.000135,0.123,0.483,138.197
21 Savage ,can't leave without it,0hPLZrnDgtKxrym1BHjDhd,0.872,0.591,6,-6.952,0,0.359,0.111,0.0,0.144,0.696,131.982
O.T. Genasis ,CoCo,2JI71GHwq2LN8mtq3iCLYo,0.886,0.628,8,-5.949,1,0.131,0.00215,1.15e-05,0.31,0.178,119.906
Belly ,Maintain,1k9B8MqhGKbVV3dTpwUxn5,0.878,0.62,2,-5.485,1,0.112,0.333,0.0,0.391,0.218,133.027
Bruno Mars ,After Last Night,3jiKUMXqwEodB7gVv1RMZU,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051
Rich Brian ,See Me,17I8HJ0rI760NXwve92rpO,0.854,0.578,5,-8.824,1,0.0889,0.669,1.1e-06,0.0844,0.306,137.025
Thomas Rhett ,Drink A Little Beer,1mJFIsUzfbeh0KBuXLVe16,0.336,0.824,9,-4.653,1,0.253,0.00752,0.0,0.322,0.783,168.08
Mac Miller ,Conversation Pt. 1,1oFEAWvPHP5TdSlmIs77sV,0.787,0.472,6,-10.032,0,0.113,0.64,5.22e-05,0.11,0.264,144.998
j,hope  Future,0Puudh380z6cOCgMaTNm7h,0.717,0.822,6,-5.249,1,0.0879,0.0652,0.0,0.36,0.764,102.042
A$AP Rocky ,Bad Company,3ZYwSDF9knZI0RVlKR4PHC,0.901,0.529,8,-7.94,1,0.413,0.0679,0.0,0.536,0.343,144.941
French Montana ,No Shopping,0Di26AbdtizzHkFstPyt7A,0.895,0.491,10,-10.261,0,0.246,0.0144,0.000988,0.143,0.249,83.505
Tory Lanez ,Forever,0oVxGuRMnawFgA8aduocfc,0.805,0.776,1,-6.006,1,0.139,0.000159,0.0,0.0502,0.172,146.997
Don Toliver ,Crossfaded,2iu60eTIm2py6MaoVMcBAR,0.622,0.501,0,-7.325,1,0.0816,0.783,3.77e-06,0.301,0.512,81.478
ROZES ,Christmas (Baby Please Come Home),2FWKbF1s4s5Z8ZQkyIGNQU,0.507,0.616,4,-4.746,1,0.0377,0.744,2.98e-06,0.261,0.353,65.372
Doja Cat ,Juicy,7f5trao56t7sB7f14QDTmp,0.785,0.652,0,-2.607,1,0.0668,0.102,0.0,0.0697,0.484,170.024
Eminem ,These Demons,086LXfSk4U5XEALardCE7k,0.862,0.789,1,-3.551,1,0.284,0.0541,0.0,0.282,0.472,138.918
Justin Bieber ,Life Is Worth Living,4yWCzA44dQyp0SoeM81bUb,0.558,0.296,10,-9.18,1,0.0427,0.907,0.0,0.108,0.463,76.04
CAZZETTE ,Blind Heart,22VtF9iFjs7F1YoWmuWRph,0.739,0.614,1,-12.851,0,0.0986,0.0324,8.6e-05,0.205,0.356,123.921
Isaiah Rashad ,Lay Wit Ya,5KW5AYiCyi5auXXZR2cvxM,0.913,0.861,1,-7.36,1,0.204,0.0332,4.26e-06,0.766,0.969,140.003
David Bowie ,Queen Bitch  1999 Remastered Version,2RDXq7AwoEpvrjsXe4zlUc,0.599,0.637,0,-13.083,1,0.0305,0.0248,0.0,0.0612,0.968,137.171
O.T. Genasis ,Cut It,376KnY4TrgBITxjlnbnmIy,0.875,0.673,7,-4.184,1,0.0932,0.135,0.0,0.292,0.231,130.0
Bad Bunny ,Un Verano Sin Ti,18HOjcvTVV7W8YzBuOsAPS,0.503,0.496,5,-9.123,0,0.0556,0.693,0.0,0.123,0.412,187.844
Meghan Trainor ,Me Too,3KwwE4sgCzMaKWq6QBebmX,0.934,0.694,11,-5.849,0,0.101,0.0971,1.2e-06,0.477,0.833,123.831
JAY,Z  Dirt Off Your Shoulder,3IrkbGQCoEPAkzJ0Tkv8nm,0.78,0.657,1,-7.149,1,0.317,0.0321,2.56e-06,0.339,0.648,163.969
Janelle Monáe ,I Got The Juice,5Yfq9uugLFchtFymQQWxgt,0.922,0.485,1,-7.259,1,0.096,0.0758,3.39e-05,0.601,0.395,120.156
Mayar Jenisk ,Longing Heart,2VbANrOKDeQKHUlKvSR4Kh,0.379,0.213,1,-16.879,0,0.0611,0.968,0.861,0.0894,0.0966,133.61
Shawn Mendes ,Teach Me How To Love,5LZtB6nxvjIhUoElp3Zqk0,0.592,0.885,9,-4.944,0,0.0807,0.0505,2.38e-06,0.0843,0.731,98.991
Jeremih ,Pass Dat,0xrdZMsJIaxoTHAB4bvGnu,0.886,0.511,1,-4.691,0,0.0972,0.531,0.0501,0.112,0.261,127.898
Thomas Rhett ,TShirt,1zWZvrk13cL8Sl3VLeG57F,0.634,0.862,2,-5.337,1,0.0376,0.0287,0.0,0.0217,0.767,95.989
Kane Brown ,What Ifs,7zVCrzzEJU7u24sbJPXA5W,0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976
OneRepublic ,Rescue Me,37LNNQNbL1YLyutBG6aWRx,0.761,0.606,11,-7.742,0,0.0424,0.157,0.0,0.574,0.646,121.038
Hozier ,Nina Cried Power,4rcSvYi807urIIqfeX3tBo,0.365,0.875,1,-3.228,1,0.131,0.00893,0.0,0.0786,0.655,98.708
J. Cole ,The Climb Back,1WsGvLaJEBARzgNGBVMYZW,0.451,0.525,3,-7.251,0,0.0271,0.0749,0.0797,0.364,0.118,81.505
Tory Lanez ,MiAMi,3Z52thjMFyjbF5L35dcBwG,0.674,0.862,7,-3.4,1,0.231,0.0189,0.0,0.113,0.357,160.073
Luke Combs ,Beer Never Broke My Heart,7aEtlGHoiPAfRB084NiDmx,0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001
Maggie Rogers ,Anywhere With You,4Hxcb6wDlelhZpk5fc5jmD,0.387,0.728,9,-5.33,1,0.053,0.283,0.00516,0.108,0.129,123.35
Don Toliver ,Drugs N Hella Melodies,0IX5OFffosy8wk16m1IFCa,0.56,0.707,1,-6.863,0,0.07,0.264,0.000268,0.108,0.341,147.0
Juice WRLD ,Hate The Other Side,0ada5XsQGLPUVbmTCkAP49,0.701,0.65,6,-6.313,1,0.104,0.291,0.0,0.112,0.647,90.003
Tim McGraw ,Meanwhile Back At Mama's,2rO28hRLDbsenVjeWvwqQz,0.524,0.679,6,-8.68,1,0.0435,0.583,5.79e-05,0.163,0.676,172.977
Birdy ,Skinny Love,4RL77hMWUq35NYnPLXBpih,0.379,0.29,4,-8.485,1,0.051,0.952,0.00106,0.118,0.169,166.467
A Boogie Wit da Hoodie ,R.O.D.,5AmzfSxCIOPxPmppoHrr12,0.596,0.547,9,-6.207,1,0.335,0.567,0.0,0.167,0.611,90.059
Red Hot Chili Peppers ,The Getaway,3bIQIx7hveYPQDdhjZ1kcq,0.797,0.642,0,-8.082,1,0.0725,0.0799,1.19e-05,0.371,0.667,113.999
The Lumineers ,Angela,5bodDpPolC3xlame0SVcDY,0.668,0.563,4,-8.23,1,0.0305,0.649,0.000347,0.11,0.289,130.366
Bon Iver ,22 (OVER S∞∞N),3EYj5rxRbNM3nijF9dOtry,0.323,0.112,1,-15.767,1,0.0351,0.972,0.106,0.0935,0.0996,86.564
