Artists,Title,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
iLoveMemphis ,"""Hit the Quan"" #HTQ",7MUW9VPYDM00UdwF1csfCq,0.787,0.502,9,-5.119,0,0.37,0.104,0.00112,0.234,0.506,180.038
gnash ,I Hate U I Love U,3VJ2pgPJ5yIJwEClKACONQ,0.384,0.193,2,-16.049,0,0.0425,0.829,4.78e-06,0.109,0.171,147.429
Ski Mask The Slump God ,Carbonated Water,4HPTladgOGcGzleMR3I0FK,0.938,0.559,10,-6.734,1,0.312,0.0546,0.0,0.157,0.76,119.901
Lil Tecca ,Ransom,1lOe9qE0vR9zwWQAOk6CoO,0.745,0.642,7,-6.257,0,0.287,0.0204,0.0,0.0658,0.226,179.974
Chance the Rapper ,My Own Thing,2ySRRtrAwDUF4FipiF1Djt,0.879,0.457,0,-6.332,1,0.269,0.105,0.0,0.12,0.658,139.974
Drake ,Madiba Riddim,76gUmNLXGQVOsGhfcshkFP,0.839,0.521,7,-10.45,1,0.166,0.245,0.00545,0.607,0.33,105.992
Bon Iver ,00000 Million,2lJNtl3CiHlGlW9OJHftZo,0.385,0.103,5,-17.051,1,0.0384,0.977,8.04e-05,0.0845,0.297,126.996
BLACKPINK ,DDUDU DDUDU,6PDvHZDWtGSVr8LXN3stsH,0.571,0.849,11,-8.306,0,0.143,0.0918,4.46e-06,0.936,0.39,139.937
Big Sean ,Living Single,36xxq7VDZZsGwARsn6Clo7,0.714,0.62,11,-5.045,1,0.296,0.223,0.0,0.109,0.73,80.109
Polo G ,Start Up Again,4O3bINhkGghgoKsOCr2HNz,0.875,0.601,11,-7.191,0,0.314,0.0233,0.0,0.14,0.649,124.008
Fifth Harmony ,Write On Me,0UnhE0UhBTBwtnzEXzP0it,0.441,0.692,7,-5.427,0,0.128,0.359,1.94e-06,0.161,0.475,189.879
Trippie Redd ,Leray,3sitsgJXmK6cKT0XkfXuJ9,0.777,0.19,4,-12.476,1,0.0875,0.793,0.00123,0.108,0.379,132.786
Ed Sheeran ,The A Team,1VdZ0vKfR5jneCmWIUAMxK,0.642,0.289,9,-9.918,1,0.0367,0.669,0.0,0.18,0.407,84.996
Eminem ,Rap God,6or1bKJiZ06IlK0vFvY75k,0.708,0.843,7,-2.66,1,0.314,0.397,0.0,0.799,0.625,148.14
Eli Young Band ,Love Ain't,5t8M1Ktl6TkrAAKVmYlc3E,0.597,0.856,11,-4.669,1,0.0421,0.00715,7.61e-06,0.0982,0.719,98.023
The Lumineers ,Stubborn Love,3ekNuTF3UpOvIZCfiejpnC,0.598,0.56,0,-11.679,1,0.0375,0.607,0.0432,0.196,0.221,115.01
Twenty One Pilots ,Hometown,40sRwFjfrRnaTdYPJIg4CP,0.683,0.753,2,-5.564,0,0.0317,0.0577,0.00208,0.357,0.389,120.03
Carrie Underwood ,The Champion,2F6JxWMP2ZfmVErc3ZTmqQ,0.529,0.87,8,-3.32,0,0.327,0.0529,0.0,0.0946,0.36,182.1
LANCO ,Born to Love You,77a5Eu7lC3tG0Sukt2O91U,0.659,0.902,7,-6.192,1,0.0296,0.131,9.89e-05,0.0574,0.81,124.988
John Mellencamp ,Pink Houses,5JKQMoGmXwDHCodn5pFVHB,0.635,0.795,7,-5.313,1,0.0269,0.0514,3.08e-06,0.0751,0.628,115.23
Giveon ,Stuck On You,3LBM25IgxI9y549SiYxtSi,0.599,0.463,7,-7.449,1,0.0472,0.162,6.64e-05,0.141,0.141,158.053
Ariana Grande ,pov,3UoULw70kMsiVXxW0L3A33,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798
Russ ,Voicemail,4Oi9e9Ajh72JUhQqI87kGc,0.801,0.705,10,-1.756,0,0.206,0.0198,0.0,0.2,0.358,86.984
Vicente Fernández ,Estos Celos,6u6kH7V7Tx5xDJtF82vVw0,0.746,0.324,4,-8.064,1,0.045,0.692,0.00782,0.139,0.385,104.976
Bad Bunny ,MIA,3gE4eQH3K83Sght0ZLvuBK,0.816,0.538,6,-6.354,0,0.0617,0.0142,0.000496,0.099,0.156,97.054
6LACK ,Unfair,3Q33RhbyoFul9LdKKjticI,0.397,0.257,5,-11.134,0,0.0499,0.79,0.00235,0.12,0.0382,115.783
Madvillain ,Accordion,67vrmPygrZ9giGqHUSReAT,0.578,0.631,9,-6.518,0,0.309,0.0243,0.0,0.0665,0.716,96.332
Kendrick Lamar ,You Ain't Gotta Lie (Momma Said),7A3ETuOrieyx9KSF0sn0Zf,0.443,0.635,11,-5.404,0,0.223,0.455,2.07e-05,0.285,0.672,93.742
The Weeknd ,The Hills  Remix,7iTloMifzZo9ZNZKEe4V2V,0.46,0.628,0,-6.665,0,0.225,0.0673,0.0,0.0934,0.354,111.156
Metro Boomin ,No More,42k9e2hgl98IdgkXLg4pxs,0.636,0.501,11,-7.26,0,0.329,0.413,0.0,0.339,0.196,82.309
